sexe;preusuel;annais;dpt;nombre
2;ALEXINE;1907;64;6
2;ALEXINE;1908;09;3
2;ALEXINE;1908;11;6
2;ALEXINE;1908;31;6
2;ALEXINE;1908;40;3
2;ALEXINE;1908;66;3
2;ALEXINE;1908;974;3
2;ALEXINE;1909;09;3
2;ALEXINE;1909;29;3
2;ALEXINE;1909;64;4
2;ALEXINE;1909;65;4
2;ALEXINE;1909;66;3
2;ALEXINE;1910;29;4
2;ALEXINE;1910;31;3
2;ALEXINE;1910;32;5
2;ALEXINE;1910;66;3
2;ALEXINE;1911;09;3
2;ALEXINE;1911;11;3
2;ALEXINE;1911;56;5
2;ALEXINE;1911;66;3
2;ALEXINE;1912;09;3
2;ALEXINE;1912;29;3
2;ALEXINE;1912;40;5
2;ALEXINE;1912;56;3
2;ALEXINE;1912;65;3
2;ALEXINE;1913;29;3
2;ALEXINE;1913;56;5
2;ALEXINE;1914;22;4
2;ALEXINE;1914;29;7
2;ALEXINE;1914;32;3
2;ALEXINE;1914;56;4
2;ALEXINE;1914;64;3
2;ALEXINE;1915;09;3
2;ALEXINE;1915;29;3
2;ALEXINE;1915;56;3
2;ALEXINE;1917;56;3
2;ALEXINE;1918;971;3
2;ALEXINE;1920;11;3
2;ALEXINE;1920;29;5
2;ALEXINE;1920;56;3
2;ALEXINE;1921;29;4
2;ALEXINE;1921;64;5
2;ALEXINE;1921;971;3
2;ALEXINE;1922;56;3
2;ALEXINE;1923;29;4
2;ALEXINE;1923;65;3
2;ALEXINE;1924;56;3
2;ALEXINE;1924;64;3
2;ALEXINE;1925;56;4
2;ALEXINE;1926;64;3
2;ALEXINE;1927;11;3
2;ALEXINE;1927;29;5
2;ALEXINE;1927;56;5
2;ALEXINE;1929;29;3
2;ALEXINE;1929;56;5
2;ALEXINE;1929;64;3
2;ALEXINE;1930;29;4
2;ALEXINE;1932;29;6
2;ALEXINE;1932;971;3
2;ALEXINE;1933;22;6
2;ALEXINE;1934;974;3
2;ALEXINE;1939;971;3
2;ALEXINE;1940;974;3
2;ALEXINE;1988;74;3
2;ALEXINE;1989;78;3
2;ALEXINE;1991;51;3
2;ALEXINE;1996;51;3
2;ALEXINE;1997;60;3
2;ALEXINE;1998;02;3
2;ALEXINE;1998;44;3
2;ALEXINE;1998;59;4
2;ALEXINE;1999;51;5
2;ALEXINE;1999;92;3
2;ALEXINE;2000;33;3
2;ALEXINE;2000;59;5
2;ALEXINE;2000;63;3
2;ALEXINE;2000;69;4
2;ALEXINE;2001;35;3
2;ALEXINE;2001;59;5
2;ALEXINE;2001;62;3
2;ALEXINE;2002;59;4
2;ALEXINE;2003;59;3
2;ALEXINE;2004;59;4
2;ALEXINE;2004;62;3
2;ALEXINE;2004;69;4
2;ALEXINE;2004;92;3
2;ALEXINE;2005;59;3
2;ALEXINE;2008;42;3
2;ALEXINE;2011;62;3
2;ALEXINE;2011;69;3
2;ALEXINE;2012;92;3
2;ALEXINE;2016;69;3
2;ALEXINE;2018;62;3
2;ALEXINE;2019;59;3
2;ALEXINE;XXXX;XX;1377
2;ALEXIS;1919;971;3
2;ALEXIS;1923;971;3
2;ALEXIS;1932;972;3
2;ALEXIS;1936;972;4
2;ALEXIS;1944;971;3
2;ALEXIS;1947;972;3
2;ALEXIS;1948;972;3
2;ALEXIS;1949;972;5
2;ALEXIS;1954;972;3
2;ALEXIS;1955;972;3
2;ALEXIS;1956;972;3
2;ALEXIS;1985;69;3
2;ALEXIS;1990;59;3
2;ALEXIS;2017;75;3
2;ALEXIS;2019;59;3
2;ALEXIS;XXXX;XX;342
2;ALEXY;2014;94;3
2;ALEXY;XXXX;XX;77
2;ALEXYA;XXXX;XX;283
2;ALEXYANE;XXXX;XX;42
2;ALEXYNE;XXXX;XX;23
2;ALEYA;2020;13;4
2;ALEYA;XXXX;XX;52
2;ALEYAH;XXXX;XX;45
2;ALEYNA;1997;68;3
2;ALEYNA;1998;42;3
2;ALEYNA;1998;67;4
2;ALEYNA;1998;95;3
